Sno,Wardno Name,Circleno Name,Zone,Assessor Address,Latitude,Longitude,Category
174,10-FALAKNUMA,55-RAMNASTPURA,not assigned,ARSHA MAHAL-NEW,17.3520581,78.4396124,ANGANWADI CENTERS
175,10-FALAKNUMA,54-JAHANUMA,not assigned,DHIBIGHAT-NEW,17.3393196,78.4579748,ANGANWADI CENTERS
176,10-FALAKNUMA,46-FALAKNUMA,not assigned,TEGALKUNTA-NEW,17.3302018,78.4605837,ANGANWADI CENTERS
177,10-FALAKNUMA,47-NAWABSAHEB KUNTA,not assigned,NAWAB SAHAB KUNDA-NEW,17.337805,78.4588578,ANGANWADI CENTERS
178,10-FALAKNUMA,47-NAWABSAHEB KUNTA,not assigned,OLD A.R NAGAR-NEW,17.3305359,78.4595455,ANGANWADI CENTERS
179,10-FALAKNUMA,54-JAHANUMA,not assigned,BASARATH NAGAR-NEW,17.3409684,78.4599128,ANGANWADI CENTERS
180,10-FALAKNUMA,54-JAHANUMA,not assigned,MACCA COLONY-NEW,17.3440044,78.4597728,ANGANWADI CENTERS
181,10-FALAKNUMA,46-FALAKNUMA,not assigned,"FALAK NUMA-I,II-NEW",17.3305914,78.4668653,ANGANWADI CENTERS
182,10-FALAKNUMA,53-DOODBOWLI,not assigned,CHETAKNI PURA-NEW,17.3552659,78.4634828,ANGANWADI CENTERS
183,10-FALAKNUMA,54-JAHANUMA,not assigned,VASAVI NAGAR-NEW,17.3367449,78.4570344,ANGANWADI CENTERS
184,10-FALAKNUMA,56-KISHANBAGH,not assigned,KONDAREDDY GUDA,17.3566376,78.4426489,ANGANWADI CENTERS
185,10-FALAKNUMA,56-KISHANBAGH,not assigned,KISHAN BAGH,17.3601571,78.4433743,ANGANWADI CENTERS
186,10-FALAKNUMA,54-JAHANUMA,not assigned,SANJAY GANDHI NAGAR-NEW,17.3350023,78.4568307,ANGANWADI CENTERS
187,10-FALAKNUMA,54-JAHANUMA,not assigned,JAWAHAR NAGAR-122,17.33959,78.4586628,ANGANWADI CENTERS
188,10-FALAKNUMA,47-NAWABSAHEB KUNTA,not assigned,MEERSAGAR,17.3328333,78.4585555,ANGANWADI CENTERS
189,10-FALAKNUMA,47-NAWABSAHEB KUNTA,not assigned,NAWAB SAHAB KUNTA,17.3366047,78.4581356,ANGANWADI CENTERS
190,10-FALAKNUMA,54-JAHANUMA,not assigned,SATTABAGH,17.3439562,78.4651922,ANGANWADI CENTERS
191,10-FALAKNUMA,47-NAWABSAHEB KUNTA,not assigned,MUSTAFA NAGAR-NEW,17.3298349,78.4567294,ANGANWADI CENTERS
192,10-FALAKNUMA,46-FALAKNUMA,not assigned,"BIBIKACHASMA I, II",17.3322682,78.4672826,ANGANWADI CENTERS
193,10-FALAKNUMA,46-FALAKNUMA,not assigned,VIRASAT NAGAR,17.3236762,78.4587754,ANGANWADI CENTERS
194,10-FALAKNUMA,46-FALAKNUMA,not assigned,FAROOQ NAGARI,17.326712,78.466941,ANGANWADI CENTERS
195,10-FALAKNUMA,46-FALAKNUMA,not assigned,VATTE PALLI- II,17.3283508,78.4622451,ANGANWADI CENTERS
196,10-FALAKNUMA,46-FALAKNUMA,not assigned,VATTE PALLI- I,17.3296299,78.4627481,ANGANWADI CENTERS
197,10-FALAKNUMA,47-NAWABSAHEB KUNTA,not assigned,BIRIYANI SHAH TAKRI,17.3397197,78.4603898,ANGANWADI CENTERS
198,10-FALAKNUMA,47-NAWABSAHEB KUNTA,not assigned,MARUTHI NAGAR,17.3376246,78.4588761,ANGANWADI CENTERS
199,10-FALAKNUMA,46-FALAKNUMA,not assigned,ACCHIREDDY NAGAR- II,17.3312345,78.4606763,ANGANWADI CENTERS
200,10-FALAKNUMA,46-FALAKNUMA,not assigned,ACCHI REDDY NAGAR- I,17.3309133,78.4616095,ANGANWADI CENTERS
201,10-FALAKNUMA,53-DOODBOWLI,not assigned,DEVI BAGH,17.3570192,78.4574065,ANGANWADI CENTERS
202,10-FALAKNUMA,55-RAMNASTPURA,not assigned,BAHADUR PURA,17.3542108,78.453589,ANGANWADI CENTERS
203,10-FALAKNUMA,56-KISHANBAGH,not assigned,S V NAGAR,17.3580514,78.4404045,ANGANWADI CENTERS
204,10-FALAKNUMA,56-KISHANBAGH,not assigned,ASADBABA NAGAR,17.3611004,78.4430054,ANGANWADI CENTERS
